method,distribution,fold,client_fraction,local_epochs,round,n_selected,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_roc_auc,val_pr_auc,val_specificity,val_sensitivity
fedavg,dirichlet_a0.5,1,1.0,3,8,6,0.07007,0.29336,0.89578,1.0,0.51163,0.67692,0.8074,0.99905,0.99699,1.0,0.51163
fedavg,dirichlet_a0.5,1,1.0,3,9,6,0.09526,0.03497,0.99752,1.0,0.98837,0.99415,0.99629,0.99688,0.99422,1.0,0.98837
fedavg,dirichlet_a0.5,1,1.0,3,10,6,0.10363,0.08731,0.97022,0.98684,0.87209,0.92593,0.95365,0.99674,0.99194,0.99685,0.87209
fedavg,dirichlet_a0.5,1,1.0,3,11,6,0.07816,0.27487,0.91811,1.0,0.61628,0.76259,0.85656,0.99398,0.99004,1.0,0.61628
fedavg,dirichlet_a0.5,1,1.0,3,12,6,0.10865,0.07197,0.97519,0.98718,0.89535,0.93902,0.96172,0.99615,0.99172,0.99685,0.89535
fedavg,dirichlet_a0.5,1,1.0,3,13,6,0.07417,0.06824,0.98511,0.9878,0.94186,0.96429,0.97744,0.99101,0.98937,0.99685,0.94186
fedavg,dirichlet_a0.5,1,1.0,3,14,6,0.08721,0.02242,0.99752,1.0,0.98837,0.99415,0.99629,0.9996,0.99868,1.0,0.98837
fedavg,dirichlet_a0.5,1,1.0,3,15,6,0.09548,0.04297,0.98759,0.96552,0.97674,0.9711,0.9816,0.99824,0.99481,0.99054,0.97674
fedavg,dirichlet_a0.5,1,1.0,3,16,6,0.06478,0.04319,0.99007,0.97674,0.97674,0.97674,0.98522,0.99508,0.99269,0.99369,0.97674
fedavg,dirichlet_a0.5,1,1.0,3,17,6,0.04882,0.08264,0.98263,1.0,0.9186,0.95758,0.97333,0.99857,0.99585,1.0,0.9186
fedavg,dirichlet_a0.5,1,1.0,3,18,6,0.07113,0.03187,0.99504,1.0,0.97674,0.98824,0.99255,0.99835,0.99601,1.0,0.97674
fedavg,dirichlet_a0.5,1,1.0,3,19,6,0.08139,0.42567,0.90819,1.0,0.56977,0.72593,0.83539,0.99252,0.98055,1.0,0.56977
fedavg,dirichlet_a0.5,1,1.0,3,20,6,0.06466,0.0478,0.98759,1.0,0.94186,0.97006,0.98112,0.99886,0.99686,1.0,0.94186
fedavg,dirichlet_a0.1,1,1.0,3,1,4,0.02768,1.5564,0.78218,0.0,0.0,0.0,0.43889,0.52197,0.24175,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,2,4,0.21597,1.72661,0.78218,0.0,0.0,0.0,0.43889,0.63327,0.32959,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,3,4,0.17954,3.35139,0.78218,0.0,0.0,0.0,0.43889,0.70728,0.50328,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,4,4,0.25313,1.68602,0.78218,0.0,0.0,0.0,0.43889,0.87748,0.5409,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,5,4,0.15432,2.79174,0.78218,0.0,0.0,0.0,0.43889,0.91506,0.80118,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,6,4,0.42041,1.22641,0.78218,0.0,0.0,0.0,0.43889,0.90427,0.75607,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,7,4,0.21428,3.88847,0.78218,0.0,0.0,0.0,0.43889,0.85932,0.67376,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,8,4,1.11404,2.32169,0.78218,0.0,0.0,0.0,0.43889,0.33422,0.16706,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,9,4,0.10213,1.98584,0.79208,1.0,0.04545,0.08696,0.48482,0.92031,0.83522,1.0,0.04545
fedavg,dirichlet_a0.1,1,1.0,3,10,4,0.42229,0.72995,0.79703,0.875,0.07955,0.14583,0.51533,0.88453,0.71616,0.99684,0.07955
fedavg,dirichlet_a0.1,1,1.0,3,11,4,0.07196,1.45181,0.83168,0.91667,0.25,0.39286,0.64758,0.94325,0.84998,0.99367,0.25
fedavg,dirichlet_a0.1,1,1.0,3,12,4,0.5966,0.74666,0.86881,0.88889,0.45455,0.6015,0.76149,0.96062,0.88026,0.98418,0.45455
fedavg,dirichlet_a0.1,1,1.0,3,13,4,0.34858,3.75464,0.78218,0.0,0.0,0.0,0.43889,0.88597,0.75327,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,14,4,0.98314,1.83626,0.78465,1.0,0.01136,0.02247,0.45074,0.98389,0.94558,1.0,0.01136
fedavg,dirichlet_a0.1,1,1.0,3,15,4,0.3182,0.52467,0.87376,0.95122,0.44318,0.60465,0.76477,0.91384,0.83369,0.99367,0.44318
fedavg,dirichlet_a0.1,1,1.0,3,16,4,0.19977,5.85029,0.78218,0.0,0.0,0.0,0.43889,0.85098,0.74013,1.0,0.0
fedavg,dirichlet_a0.1,1,1.0,3,17,4,0.39844,4.46341,0.79455,1.0,0.05682,0.10753,0.49572,0.73867,0.65985,1.0,0.05682
fedavg,dirichlet_a0.1,1,1.0,3,18,4,0.51187,1.01378,0.7896,0.8,0.04545,0.08602,0.48357,0.95721,0.85594,0.99684,0.04545
fedavg,dirichlet_a0.1,1,1.0,3,19,4,0.16185,3.13098,0.82178,1.0,0.18182,0.30769,0.60271,0.8344,0.70939,1.0,0.18182
fedavg,dirichlet_a0.1,1,1.0,3,20,4,0.9811,2.16201,0.81188,1.0,0.13636,0.24,0.56633,0.95185,0.90633,1.0,0.13636
